tweet_id,favorites,retweet_count
892420643555336193,35382,7472
892177421306343426,30625,5547
891815181378084864,23041,3671
891689557279858688,38673,7647
891327558926688256,36956,8247
891087950875897856,18629,2759
890971913173991426,10822,1792
890729181411237888,59619,16717
890609185150312448,25639,3814
890240255349198849,29248,6487
890006608113172480,28200,6498
889880896479866881,25659,4414
889665388333682689,44063,8858
889638837579907072,24789,3966
889531135344209921,13944,1998
889278841981685760,23147,4716
888917238123831296,26752,3976
888804989199671297,23479,3746
888554962724278272,18103,3063
888078434458587136,20005,3073
887705289381826560,27814,4783
887517139158093824,42611,10430
887473957103951883,63054,15925
887343217045368832,30936,9331
887101392804085760,28143,5280
886983233522544640,31965,6776
886736880519319552,10979,2823
886680336477933568,20664,3967
886366144734445568,19405,2805
886267009285017600,110,4
886258384151887873,25686,5605
886054160059072513,0,96
885984800019947520,29929,5950
885528943205470208,33016,5665
885518971528720385,18809,3306
885311592912609280,0,16388
885167619883638784,20080,3869
884925521741709313,70664,15983
884876753390489601,25531,4946
884562892145688576,22329,4164
884441805382717440,24901,5053
884247878851493888,66560,17978
884162670584377345,18754,2652
883838122936631299,20068,3028
883482846933004288,42087,8750
883360690899218434,20841,3266
883117836046086144,34045,5881
882992080364220416,21940,3436
882762694511734784,25947,4326
882627270321602560,25729,5377
882268110199369728,41152,10277
882045870035918850,26925,4313
881906580714921986,22393,3017
881666595344535552,46540,9461
881633300179243008,116,7
881536004380872706,45444,14192
881268444196462592,21408,4699
880935762899988482,15723,2483
880872448815771648,19568,3395
880465832366813184,26152,5513
880221127280381952,24750,3686
880095782870896641,25398,3862
879862464715927552,20578,3089
879674319642796034,292,10
879492040517615616,21595,2817
879415818425184262,97194,39620
879376492567855104,15489,2777
879130579576475649,0,6048
879050749262655488,20734,4173
879008229531029506,17496,2378
878776093423087618,17831,3635
878604707211726852,27656,6276
878404777348136964,0,1131
878316110768087041,0,5896
878281511006478336,7107,1131
878057613040115712,38762,6048
877736472329191424,72798,16813
877611172832227328,0,71
877556246731214848,20898,3391
877316821321428993,25246,4632
877201837425926144,24960,4948
876838120628539392,19058,2965
876537666061221889,21874,4185
876484053909872640,17309,2105
876120275196170240,25808,4150
875747767867523072,23138,3805
875144289856114688,20236,4378
875097192612077568,25326,5427
875021211251597312,23539,4201
874680097055178752,25669,4137
874434818259525634,0,12959
874296783580663808,24027,3683
874057562936811520,20976,3557
874012996292530176,31556,9113
873580283840344065,22364,3524
873337748698140672,0,1412
873213775632977920,6611,1412
872967104147763200,25173,4844
872820683541237760,13626,3332
872620804844003328,19165,3259
872486979161796608,37714,8124
872122724285648897,31664,7262
871879754684805121,34733,9799
871762521631449091,18708,3131
871515927908634625,18704,3123
871166179821445120,0,5131
871102520638267392,19376,4959
871032628920680449,21078,3431
870804317367881728,31214,5570
870726314365509632,113,3
870656317836468226,11414,2351
870374049280663552,77094,23968
870308999962521604,20363,3744
870063196459192321,33883,7496
869772420881756160,39576,9157
869702957897576449,26209,5682
869596645499047938,14820,2807
869227993411051520,18975,3402
868880397819494401,60738,13036
868639477480148993,0,1872
868622495443632128,24752,4779
868552278524837888,9369,1872
867900495410671616,22550,3795
867774946302451713,31640,6649
867421006826221569,14984,2264
867072653475098625,0,108
867051520902168576,30003,7166
866720684873056260,18651,4354
866686824827068416,17943,3149
866450705531457537,113951,32068
866334964761202691,48793,12959
866094527597207552,0,7622
865718153858494464,23990,5124
865359393868664832,24697,4555
865006731092295680,26188,7044
864873206498414592,30143,7930
864279568663928832,13645,2745
864197398364647424,27994,8051
863907417377173506,19282,3789
863553081350529029,14286,3834
863471782782697472,0,2216
863432100342583297,22256,4791
863427515083354112,2058,87
863079547188785154,8215,1015
863062471531167744,7900,2216
862831371563274240,17969,4715
862722525377298433,16033,3249
862457590147678208,19125,4504
862096992088072192,69485,21233
861383897657036800,33855,9828
861288531465048066,16107,3803
861005113778896900,15664,3512
860981674716409858,0,1970
860924035999428608,0,728
860563773140209665,7045,1970
860524505164394496,22242,4876
860276583193509888,17306,3248
860184849394610176,15686,5397
860177593139703809,0,28499
859924526012018688,18466,3797
859851578198683649,14551,3258
859607811541651456,17556,1432
859196978902773760,84611,27840
859074603037188101,31865,12625
858860390427611136,0,7512
858843525470990336,14737,3216
858471635011153920,20350,4510
858107933456039936,14882,2683
857989990357356544,15189,2404
857746408056729600,32369,9889
857393404942143489,5569,1527
857263160327368704,19019,4214
857214891891077121,213,17
857062103051644929,0,155
857029823797047296,17860,3702
856543823941562368,15527,2688
856526610513747968,11269,1756
856330835276025856,0,624
856288084350160898,490,15
856282028240666624,26350,5873
855862651834028034,316,22
855860136149123072,4647,910
855857698524602368,11303,1970
855851453814013952,43623,16940
855818117272018944,25400,5089
855459453768019968,28364,7710
855245323840757760,0,5579
855138241867124737,0,41
854732716440526848,21693,5693
854482394044301312,27877,6423
854365224396361728,18034,4417
854120357044912130,30569,7017
854010172552949760,15532,2971
853760880890318849,27340,5437
853639147608842240,33136,9430
853299958564483072,14846,3358
852936405516943360,0,1876
852912242202992640,8635,1704
852672615818899456,14311,2044
852553447878664193,15611,3284
852311364735569921,31808,9423
852226086759018497,19210,6503
852189679701164033,11025,1509
851861385021730816,0,19
851591660324737024,15666,3293
851464819735769094,23326,6717
851224888060895234,19924,5469
850753642995093505,29610,8634
850380195714523136,12639,2476
850333567704068097,3332,311
850145622816686080,15742,3611
850019790995546112,19687,4641
849776966551130114,29302,7225
849668094696017920,0,4733
849412302885593088,15330,3001
849336543269576704,11027,1804
849051919805034497,40880,8078
848690551926992896,24352,4143
848324959059550208,23907,4425
848213670039564288,7897,688
848212111729840128,15783,2889
847978865427394560,0,3123
847971574464610304,0,420
847962785489326080,22776,4855
847842811428974592,5242,1263
847617282490613760,6764,393
847606175596138505,18185,3281
847251039262605312,19862,4141
847157206088847362,19251,5612
847116187444137987,20808,3052
846874817362120707,19455,3761
846514051647705089,43215,11065
846505985330044928,13688,2941
846153765933735936,30595,8665
846139713627017216,30131,9670
846042936437604353,15506,2747
845812042753855489,28350,8334
845677943972139009,24476,4622
845397057150107648,7395,1717
845306882940190720,22661,5173
845098359547420673,0,7368
844979544864018432,13260,2446
844973813909606400,14620,3050
844580511645339650,16012,2993
844223788422217728,13302,2099
843981021012017153,14779,2846
843856843873095681,20880,4441
843604394117681152,16444,2635
843235543001513987,20941,5789
842846295480000512,14896,3501
842765311967449089,6551,1218
842535590457499648,17670,3388
842163532590374912,23821,5579
842115215311396866,13619,2913
841833993020538882,0,14498
841680585030541313,25154,7567
841439858740625411,12325,3549
841320156043304961,19330,5327
841314665196081154,15466,4488
841077006473256960,22315,5131
840761248237133825,0,1706
840728873075638272,0,15512
840698636975636481,172,2
840696689258311684,11991,942
840632337062862849,8785,1706
840370681858686976,16067,4410
840268004936019968,18812,5548
839990271299457024,13143,2202
839549326359670784,26844,7512
839290600511926273,0,139
839239871831150596,26508,6321
838952994649550848,19236,3874
838921590096166913,10885,1982
838916489579200512,0,33
838831947270979586,0,10684
838561493054533637,10743,1290
838476387338051585,21999,4619
838201503651401729,0,9740
838150277551247360,1633,323
838085839343206401,138,1
838083903487373313,17279,3027
837820167694528512,33359,7622
837482249356513284,3785,431
837471256429613056,12541,2200
837110210464448512,15727,2301
836989968035819520,12505,2242
836753516572119041,18979,4519
836677758902222849,12396,2170
836648853927522308,0,537
836397794269200385,0,26749
836380477523124226,14495,2908
836260088725786625,20915,4197
836001077879255040,18723,4150
835685285446955009,0,7922
835574547218894849,17471,3522
835536468978302976,0,1646
835309094223372289,0,20391
835297930240217089,16181,2920
835264098648616962,7583,1646
835246439529840640,2060,71
835172783151792128,25713,5618
835152434251116546,21958,2918
834931633769889797,10603,1586
834786237630337024,21046,5379
834574053763584002,13403,2457
834477809192075265,0,10378
834458053273591808,9465,1637
834209720923721728,20184,4629
834167344700198914,15554,3575
834089966724603904,9864,2082
834086379323871233,12842,2151
833863086058651648,13213,2350
833826103416520705,17788,3684
833732339549220864,0,217
833722901757046785,20497,3152
833479644947025920,14629,1994
